epoch,accuracy,loss,val_accuracy,val_loss
0,0.37531137466430664,1.3214956521987915,0.44668588042259216,1.2737326622009277
1,0.6498754620552063,0.9783933758735657,0.6628242135047913,0.9306753277778625
2,0.7979518175125122,0.5883509516716003,0.7002881765365601,0.7836840152740479
3,0.8483254909515381,0.42114025354385376,0.7031700015068054,0.7880043983459473
4,0.8737890720367432,0.34039464592933655,0.6743515729904175,0.824734628200531
5,0.9050650596618652,0.27449700236320496,0.6858789920806885,0.8712642788887024
6,0.9225021004676819,0.22875076532363892,0.6858789920806885,0.9038321375846863
7,0.9391087889671326,0.19416525959968567,0.6772334575653076,0.9873028993606567
8,0.9496263265609741,0.16053658723831177,0.6657060384750366,1.0203990936279297
9,0.9565458297729492,0.1425875723361969,0.6743515729904175,1.097481608390808
10,0.9631884694099426,0.12421075999736786,0.6772334575653076,1.1515220403671265
11,0.9648491740226746,0.11415659636259079,0.6743515729904175,1.153282642364502
12,0.9673401713371277,0.103765569627285,0.6599423885345459,1.2537672519683838
13,0.9701079726219177,0.09657350182533264,0.6743515729904175,1.2706083059310913
14,0.9692776203155518,0.09615408629179001,0.651296854019165,1.3524487018585205
15,0.9701079726219177,0.08191955834627151,0.6657060384750366,1.3559060096740723
16,0.9723221659660339,0.08422035723924637,0.6628242135047913,1.416696548461914
17,0.972875714302063,0.07996552437543869,0.6685879230499268,1.3624409437179565
18,0.976473867893219,0.07547610998153687,0.6714697480201721,1.4459881782531738
19,0.9778577089309692,0.07452837377786636,0.6743515729904175,1.451008677482605
20,0.9781345129013062,0.07069464027881622,0.6743515729904175,1.4936093091964722
21,0.9767506122589111,0.06825375556945801,0.6714697480201721,1.4865801334381104
22,0.9767506122589111,0.06943590193986893,0.6570605039596558,1.5828864574432373
23,0.9759202599525452,0.06499499827623367,0.6829971075057983,1.5541802644729614
24,0.9784113168716431,0.06022510677576065,0.6858789920806885,1.5414350032806396
